HomeownershipRate,UnemploymentRate,Housing_Supply_Demand_Ratio,VacantHousingUnits_1,TotalShipmentsofNewHomes,MedianListingPriceperSquareFeet,Affordability_Level
67.8,5.1,0.019626168224299065,2060.0,93.0,72.27157015948833,Expensive
68.1,5.0,0.019216417910447762,2147.0,92.0,72.68015628971308,Expensive
68.1,5.4,0.021230158730158728,2147.0,87.0,73.09105235488795,Expensive
68.1,5.6,0.02197125256673511,2147.0,84.0,73.5042714141921,Expensive
67.9,5.8,0.0220125786163522,2032.0,82.0,73.91982660063454,Expensive
67.9,6.1,0.025977011494252876,2032.0,79.0,74.33773112147152,Expensive
67.5,6.8,0.02930591259640103,2070.0,66.0,75.60567388545252,Affordable
67.5,7.3,0.029708222811671084,2070.0,62.0,76.03310931611661,Affordable
67.3,8.3,0.028225806451612902,2133.0,54.0,76.89524333656102,Affordable
67.3,8.7,0.032448377581120944,2133.0,50.0,77.3299693268535,Affordable
67.4,9.0,0.03175074183976261,2009.0,48.0,77.76715303336398,Affordable
67.4,9.4,0.02473404255319149,2009.0,48.0,78.20680835075058,Affordable
67.4,9.5,0.021628498727735368,2009.0,46.0,78.64894925222463,Affordable
67.6,9.5,0.019221411192214113,2071.0,50.0,79.09358978999478,Affordable
67.6,9.6,0.017942583732057416,2071.0,48.0,79.54074409571363,Affordable
67.6,9.8,0.020207253886010364,2071.0,48.0,79.99042638092682,Affordable
67.2,10.0,0.01868686868686869,2135.0,49.0,80.44265093752475,Affordable
67.2,9.9,0.020266666666666665,2135.0,51.0,80.89743213819675,Affordable
67.2,9.9,0.022727272727272728,2135.0,51.0,81.35478443688795,Affordable
67.1,9.8,0.023478260869565216,2225.0,51.0,81.81472236925862,Affordable
67.1,9.8,0.024702380952380955,2225.0,53.0,82.2772605531461,Affordable
67.1,9.9,0.01863517060367454,2225.0,54.0,82.7424136890295,Affordable
66.9,9.9,0.014691943127962086,2155.0,55.0,83.2101965604968,Affordable
66.9,9.6,0.03321428571428572,2155.0,57.0,83.68062403471475,Affordable
66.9,9.4,0.027213114754098364,2155.0,55.0,84.15371106290141,Affordable
66.9,9.4,0.031448763250883395,2277.0,52.0,84.62947268080127,Affordable
66.9,9.5,0.03120567375886525,2277.0,50.0,85.1079240091632,Affordable
66.9,9.5,0.02397476340694006,2277.0,47.0,85.58908025422093,Affordable
66.5,9.4,0.0281786941580756,2399.0,43.0,86.0729567081764,Affordable
66.5,9.8,0.02857142857142857,2399.0,43.0,86.55956874968577,Affordable
66.5,9.3,0.02147239263803681,2399.0,40.0,87.04893184434815,Affordable
66.4,9.1,0.023778501628664496,2241.0,44.0,87.5410615451972,Expensive
66.4,9.0,0.03,2241.0,44.0,88.03597349319536,Expensive
66.4,9.0,0.024,2241.0,46.0,88.53368341773101,Expensive
65.9,9.1,0.021612903225806453,2312.0,47.0,89.0342071371184,Expensive
65.9,9.0,0.02163934426229508,2312.0,49.0,89.5375605591003,Expensive
65.9,9.1,0.02192691029900332,2312.0,50.0,90.04375968135368,Expensive
66.3,9.0,0.022635135135135136,2332.0,48.0,90.5528205919981,Affordable
66.3,9.0,0.021739130434782608,2332.0,50.0,91.06475947010703,Affordable
66.3,9.0,0.020723684210526314,2332.0,56.0,91.5795925862221,Affordable
66.0,8.8,0.0189873417721519,2187.0,63.0,92.09733630287016,Affordable
66.0,8.6,0.017378048780487806,2187.0,65.0,92.61800707508328,Affordable
66.0,8.5,0.015542521994134896,2187.0,58.0,93.14162145092187,Affordable
65.4,8.3,0.015820895522388058,2199.0,59.0,93.66819607200053,Expensive
